Calcium (Ca)	Ca1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         172.863         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         158.842         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         151.517         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         144.020         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         143.734         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         135.996         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         127.919         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         119.884         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         111.578         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          94.821         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          77.713         0.000
  800.00   0.0   0.0     0.000          0.000     0.000          60.309         0.000
  900.00   0.0   0.0     0.000          0.000     0.000          42.645         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000          24.747         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000           6.643         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -11.651         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         -30.119         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         -48.745         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         -67.521         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         -86.436         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -105.481         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -124.648         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -143.931         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -163.325         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -182.823         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -202.420         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -222.115         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -241.903         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -261.782         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -281.744         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -301.796         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -321.929         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -342.146         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -362.443         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -382.819         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -403.280         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -423.819         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -444.440         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -465.140         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -485.924         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -506.788         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -527.740         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -548.772         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -569.893         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -591.100         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -612.399         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -633.782         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -655.258         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -676.823         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -698.483         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -720.234         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -742.081         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -764.025         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -786.068         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -808.156         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -830.440         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -852.721         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -875.198         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -897.677         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -920.352         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -943.025         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -965.894         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -988.766         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1011.832         0.000
