Carbon (C)	C1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         700.713         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         686.380         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         678.771         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         671.244         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         670.951         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         662.958         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         654.815         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         646.541         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         638.151         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         621.070         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         603.639         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         585.912         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         567.924         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         549.703         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         531.275         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         512.657         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         493.867         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         474.915         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         455.814         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         436.576         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         417.208         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         397.714         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         378.107         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         358.388         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         338.565         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         318.643         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         298.624         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         278.515         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000         258.314         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000         238.033         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000         217.666         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000         197.221         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000         176.700         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000         156.102         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000         135.437         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000         114.699         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000          93.890         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000          73.020         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000          52.086         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000          31.084         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000          10.022         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000         -11.100         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000         -32.276         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000         -53.516         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000         -74.808         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000         -96.155         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -117.553         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -139.006         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -160.511         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -182.069         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -203.672         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -225.326         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -247.024         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -268.774         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -290.565         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -312.401         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -334.280         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -356.205         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -378.173         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -400.182         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -422.236         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -444.325         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -466.456         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -488.629         0.000
