Copper (Cu)	Cu1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         329.000         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         313.828         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         305.919         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         297.877         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         297.568         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         289.250         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         280.602         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         271.987         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         263.112         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         245.203         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         226.945         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         208.390         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         189.573         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         170.525         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         151.269         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         131.824         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         112.207         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          92.427         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000          72.501         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          52.433         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          32.236         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          11.914         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          -8.523         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -29.073         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         -49.732         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -70.490         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -91.350         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -112.306         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -133.356         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -154.497         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -175.729         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -197.047         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -218.453         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -239.943         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -261.518         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -283.174         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -304.912         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -326.732         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -348.631         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -370.611         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -392.667         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -414.801         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -437.010         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -459.296         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -481.661         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -504.093         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -526.603         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -549.181         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -571.836         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -594.559         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -617.347         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -640.207         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -663.137         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -686.132         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -709.190         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -732.314         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -755.505         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -778.755         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -802.067         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -825.439         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -848.877         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -872.365         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -895.921         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -919.528         0.000
