Fluorine (F)	F1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000          91.740         0.000
  200.00   0.0   0.0     0.000          0.000     0.000          77.454         0.000
  250.00   0.0   0.0     0.000          0.000     0.000          69.840         0.000
  298.15   0.0   0.0     0.000          0.000     0.000          62.289         0.000
  300.00   0.0   0.0     0.000          0.000     0.000          61.995         0.000
  350.00   0.0   0.0     0.000          0.000     0.000          53.961         0.000
  400.00   0.0   0.0     0.000          0.000     0.000          45.765         0.000
  450.00   0.0   0.0     0.000          0.000     0.000          37.428         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          28.968         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          11.724         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          -5.885         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         -23.804         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         -41.991         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         -60.417         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         -79.057         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -97.888         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000        -116.896         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000        -136.068         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000        -155.388         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000        -174.850         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -194.443         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -214.159         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -233.993         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -253.936         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -273.983         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -294.130         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -314.373         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -334.706         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -355.126         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -375.629         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -396.215         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -416.876         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -437.611         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -458.419         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -479.296         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -500.241         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -521.252         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -542.324         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -563.458         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -584.652         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -605.904         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -627.211         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -648.575         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -669.991         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -691.460         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -712.978         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -734.547         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -756.164         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -777.828         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -799.537         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -821.294         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -843.095         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -864.937         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -886.824         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -908.750         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -930.720         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -952.727         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -974.777         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -996.863         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000       -1018.987         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000       -1041.148         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000       -1063.345         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000       -1085.577         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1107.846         0.000
