Magnesium (Mg)	Mg1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         140.128         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         126.731         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         119.711         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         112.522         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         112.246         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         104.818         0.000
  400.00   0.0   0.0     0.000          0.000     0.000          97.055         0.000
  450.00   0.0   0.0     0.000          0.000     0.000          89.329         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          81.339         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          65.204         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          48.722         0.000
  800.00   0.0   0.0     0.000          0.000     0.000          31.942         0.000
  900.00   0.0   0.0     0.000          0.000     0.000          14.900         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000          -2.372         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         -19.853         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -37.523         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         -55.366         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         -73.371         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         -91.522         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000        -109.813         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -128.235         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -146.778         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -165.437         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -184.204         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -203.076         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -222.049         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -241.113         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -260.270         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -279.512         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -298.840         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -318.245         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -337.730         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -357.287         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -376.916         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -396.620         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -416.387         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -436.222         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -456.121         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -476.083         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -496.107         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -516.192         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -536.335         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -556.538         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -576.797         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -597.111         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -617.483         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -637.909         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -658.391         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -678.922         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -699.511         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -720.152         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -740.849         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -761.597         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -782.396         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -803.247         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -824.154         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -845.110         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -866.123         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -887.181         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -908.299         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -929.466         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -950.686         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -971.963         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -993.284         0.000
