Manganese (Mn)	Mn1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         273.581         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         257.677         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         249.408         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         241.007         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         240.686         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         232.010         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         222.988         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         214.017         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         204.765         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         186.124         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         167.134         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         147.846         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         128.298         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         108.519         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000          88.531         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000          68.354         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000          48.005         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          27.494         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000           6.835         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         -13.962         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         -34.891         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         -55.941         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -77.106         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -98.381         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -119.760         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -141.239         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -162.812         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -184.477         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -206.229         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -228.065         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -249.984         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -271.981         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -294.056         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -316.203         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -338.424         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -360.721         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -383.085         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -405.520         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -428.024         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -450.593         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -473.233         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -495.940         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -518.717         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -541.559         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -564.435         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -587.446         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -610.459         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -633.611         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -656.761         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -680.052         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -703.341         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -726.774         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -750.208         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -773.789         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -797.368         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -821.098         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -844.831         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -868.718         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -892.584         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -916.596         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -940.630         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -964.821         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -989.007         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1013.352         0.000
