Sodium (Na)	Na1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         105.427         0.000
  200.00   0.0   0.0     0.000          0.000     0.000          91.528         0.000
  250.00   0.0   0.0     0.000          0.000     0.000          84.139         0.000
  298.15   0.0   0.0     0.000          0.000     0.000          76.825         0.000
  300.00   0.0   0.0     0.000          0.000     0.000          76.541         0.000
  350.00   0.0   0.0     0.000          0.000     0.000          68.952         0.000
  400.00   0.0   0.0     0.000          0.000     0.000          60.848         0.000
  450.00   0.0   0.0     0.000          0.000     0.000          52.883         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          44.630         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          27.994         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          11.009         0.000
  800.00   0.0   0.0     0.000          0.000     0.000          -6.274         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         -23.816         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         -41.592         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         -59.573         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -77.746         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         -96.092         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000        -114.597         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000        -133.250         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000        -152.044         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -170.966         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -190.011         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -209.172         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -228.443         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -247.816         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -267.291         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -286.858         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -306.516         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -326.263         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -346.091         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -366.003         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -385.990         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -406.054         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -426.191         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -446.399         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -466.674         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -487.019         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -507.430         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -527.904         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -548.440         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -569.038         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -589.696         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -610.418         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -631.194         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -652.032         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -672.924         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -693.875         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -714.879         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -735.944         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -757.058         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -778.233         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -799.461         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -820.741         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -842.082         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -863.446         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -884.920         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -906.394         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -927.978         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -949.564         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -971.261         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -992.957         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000       -1014.765         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000       -1036.563         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1058.471         0.000
