Nitrogen (N)	N1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         484.069         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         470.207         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         462.836         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         455.540         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         455.257         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         447.503         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         439.600         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         431.568         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         423.419         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         406.819         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         389.871         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         372.625         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         355.119         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         337.382         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         319.435         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         301.300         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         282.991         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         264.522         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         245.905         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         227.149         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         208.263         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         189.254         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         170.130         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         150.898         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         131.560         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         112.123         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000          92.593         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000          72.970         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000          53.262         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000          33.471         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000          13.600         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000          -6.350         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000         -26.374         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000         -46.469         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000         -66.635         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000         -86.868         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -107.168         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -127.531         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -147.956         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -168.444         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -188.990         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -209.595         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -230.253         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -250.971         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -271.740         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -292.566         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -313.442         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -334.371         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -355.352         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -376.380         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -397.459         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -418.586         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -439.763         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -460.987         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -482.256         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -503.573         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -524.936         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -546.344         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -567.797         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -589.293         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -610.834         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -632.420         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -654.050         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -675.722         0.000
