Nickel (Ni)	Ni1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         418.721         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         402.157         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         393.496         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         384.701         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         384.363         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         375.252         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         365.776         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         356.331         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         346.586         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         326.907         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         306.812         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         286.361         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         265.596         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         244.555         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         223.265         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         201.748         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         180.028         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         158.120         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         136.041         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         113.800         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          91.410         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          68.879         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          46.220         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000          23.437         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000           0.537         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -22.472         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -45.588         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         -68.802         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000         -92.110         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -115.510         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -138.998         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -162.568         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -186.218         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -209.946         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -233.751         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -257.628         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -281.575         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -305.586         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -329.668         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -353.811         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -378.015         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -402.282         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -426.609         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -450.991         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -475.430         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -499.922         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -524.471         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -549.071         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -573.725         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -598.427         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -623.181         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -647.981         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -672.834         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -697.730         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -722.653         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -747.667         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -772.682         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -797.787         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -822.891         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -848.084         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -873.275         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -898.553         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -923.835         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -949.203         0.000
