Phosphorus (P)	P1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         310.469         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         295.618         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         287.863         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         279.980         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         279.678         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         271.555         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         263.031         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         254.578         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         245.862         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         228.270         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         210.334         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         192.097         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         173.602         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         154.874         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         135.938         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         116.813         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000          97.515         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          78.054         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000          58.449         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          38.701         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          18.826         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          -1.176         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -21.293         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -41.521         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         -61.853         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -82.289         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -102.821         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -123.448         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -144.164         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -164.972         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -185.866         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -206.840         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -227.899         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -249.037         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -270.254         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -291.544         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -312.913         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -334.355         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -355.872         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -377.459         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -399.118         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -420.846         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -442.641         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -464.505         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -486.438         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -508.435         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -530.498         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -552.625         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -574.815         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -597.068         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -619.382         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -641.754         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -664.191         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -686.686         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -709.218         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -731.845         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -754.493         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -777.234         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -799.993         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -822.841         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -845.708         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -868.660         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -891.635         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -914.693         0.000
