mass fractions [%]
Earth Crust: Jefferson Lab (2007), 1400 means 0.14%
otherwise: http://periodictable.com/Properties/A/MeteoriteAbundance.an.log.html

                             EarthCrust   Ocean	     Solar    Meteorites    AtomicMass  
1 	hydrogen 	H 	1400      11.  	     75.      2.4  	    1.00794 	
2       helium          He      0.006	  7.2E-10    23.      0.0 	    4.002602 	
3 	lithium 	Li 	20     	  0.000018   6.E-9    0.00017	    6.941 	
4 	beryllium 	Be 	2.8    	  6.E-11     1.E-8    2.9E-6 	    9.012182 	
5 	boron 		B 	10     	  0.00044    2.E-7    0.00016	    10.811 	
6 	carbon 		C 	200    	  0.0028     0.3      1.5  	    12.0107 	
7 	nitrogen 	N 	19     	  0.00005    0.1      0.14  	    14.0067 	
8 	oxygen 	        O 	461000	  86.  	     0.9      40.  	    15.9994 	
9 	fluorine 	F 	585    	  0.00013    0.00005  0.0087 	    18.9984032 	
10      neon            Ne      0.003	  1.2E-8     0.1      0.0 	    20.1797 	
11 	sodium 		Na 	23600 	  1.1  	     0.004    0.55  	    22.98977 	
12 	magnesium 	Mg 	23300 	  0.13       0.07     12.  	    24.305 	
13 	aluminium 	Al 	82300 	  5.E-7      0.006    0.91  	    26.981538 	
14 	silicon  	Si 	282000	  0.0001     0.09     14.  	    28.0855 	
15 	phosphorus 	P 	1050  	  7.E-6      0.0007   0.11  	    30.973761 	
16 	sulfur 		S 	350    	  0.093      0.04     4.  	    32.065 	
17 	chlorine 	Cl 	145  	  2.  	     0.0008   0.037  	    35.453 	
18      argon           Ar      1.5  	  0.000045   0.007    0.0 	    39.948 	
19 	potassium 	K 	20900 	  0.042      0.0004   0.07  	    39.0983     
20 	calcium 	Ca 	41500 	  0.00042    0.007    1.1  	    40.078 	
21 	scandium 	Sc 	22     	  1.5E-10    4.E-6    0.00064	    44.95591    
22 	titanium 	Ti 	5600  	  1.E-7      0.0004   0.054  	    47.867 	
23 	vanadium 	V 	120    	  1.5E-7     0.00004  0.0061 	    50.9415     
24 	chromium 	Cr 	102    	  6.E-8      0.002    0.3  	    51.9961     
25 	manganese 	Mn 	950    	  2.E-7      0.001    0.27  	    54.938049   
26 	iron 		Fe 	56300 	  3.E-7      0.1      22.  	    55.845 	
27 	cobalt 		Co 	25     	  8.E-9      0.0004   0.059  	    58.9332     
28 	nickel 		Ni 	84     	  2.E-7      0.008    1.3  	    58.6934     
29 	copper 		Cu 	60     	  3.E-7      0.00007  0.011  	    63.546 	
30 	zinc 		Zn 	70     	  5.E-7      0.0002   0.018  	    65.409 	
31 	gallium 	Ga 	19     	  3.E-9      4.E-6    0.00076	    69.723 	
32 	germanium 	Ge 	1.5    	  6.E-9      0.00002  0.0021 	    72.64 	
33 	arsenic 	As 	1.8    	  2.3E-7     0.0      0.00018	    74.9216 	
34 	selenium 	Se 	0.05   	  4.5E-8     0.0      0.0013 	    78.96 	
35 	bromine 	Br 	2.4  	  0.0067     0.0      0.00012	    79.904 	
36      krypton         Kr      0.00015	  2.1E-8     0.0      0.0 	    83.798 	
37 	rubidium 	Rb 	90     	  0.000012   3.E-6    0.00032	    85.4678 	
38 	strontium 	Sr 	370    	  0.00081    5.E-6    0.00087	    87.62 	
39 	yttrium 	Y 	33     	  1.3E-9     1.E-6    0.00019	    88.90585 	
40 	zirconium 	Zr 	165    	  2.6E-9     4.E-6    0.00066	    91.224 	
41 	niobium 	Nb 	20     	  1.E-10     4.E-7    0.000019      92.90638    
42 	molybdenum 	Mo 	1.2    	  1.E-6      9.E-7    0.00012  	    95.94 	
44 	ruthenium 	Ru 	0.001  	  7.E-11     5.E-7    0.000081      101.07 	
45 	rhodium 	Rh 	0.001  	  0.0        2.E-7    0.000018      102.9055    
46 	palladium 	Pd 	0.015  	  0.0        3.E-7    0.000066      106.42 	
47 	silver 		Ag 	0.075  	  1.E-8      1.E-7    0.000014      107.8682    
48 	cadmium 	Cd 	0.15   	  5.E-9      6.E-7    0.000044      112.411     
49 	indium 		In 	0.250  	  1.E-11     4.E-7    4.4E-6        114.818     
50 	tin 		Sn 	2.3    	  1.E-9      9.E-7    0.00012       118.71 	
51 	antimony 	Sb 	0.2    	  2.E-8      1.E-7    0.000012      121.76 	
52 	tellurium 	Te 	0.001  	  0.0        0.0      0.00021       127.6 	
53 	iodine 		I 	0.450  	  6.E-6      0.0      0.000025      126.90447   
54      xenon           Xe      2.e-5	  5.E-10     0.0      0.0 	    131.293     
55 	caesium 	Cs 	3      	  5.E-8      8.E-7    0.000014      132.90545   
56 	barium 		Ba 	425    	  3.E-6      1.E-6    0.00027       137.327     
57 	lanthanum 	La 	39     	  3.4E-10    2.E-7    0.000028      138.9055    
58 	cerium 		Ce 	66.5   	  1.2E-10    4.E-7    0.000075      140.116     
59 	praseodymium 	Pr 	9.2    	  6.E-11     1.E-7    9.8E-6   	    140.90765   
60 	neodymium 	Nd 	41.5   	  2.8E-10    3.E-7    0.00005       144.24 	
