Aluminum (Al)	Al1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         319.710         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         304.823         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         297.015         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         289.068         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         288.764         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         280.536         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         271.974         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         263.444         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         254.651         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         236.904         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         218.808         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         200.411         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         181.753         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         162.863         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         143.765         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         124.476         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         105.015         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          85.392         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000          65.623         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          45.711         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          25.672         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000           5.511         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -14.768         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -35.156         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         -55.648         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -76.239         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -96.922         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -117.697         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -138.562         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -159.507         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -180.532         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -201.635         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -222.812         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -244.061         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -265.379         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -286.761         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -308.211         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -329.727         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -351.299         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -372.934         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -394.625         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -416.373         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -438.176         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -460.033         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -481.943         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -503.900         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -525.911         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -547.968         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -570.074         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -592.228         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -614.429         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -636.673         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -658.960         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -681.291         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -703.669         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -726.085         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -748.542         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -771.043         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -793.585         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -816.165         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -838.786         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -861.443         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -884.142         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -906.877         0.000
