Chromium (Cr)	Cr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         385.242         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         369.280         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         360.966         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         352.551         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         352.228         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         343.511         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         334.471         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         325.460         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         316.189         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         297.488         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         278.439         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         259.092         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         239.484         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         219.644         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         199.596         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         179.358         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         158.944         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         138.368         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         117.638         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          96.762         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          75.748         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          54.600         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          33.324         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000          11.923         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000          -9.601         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -31.244         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -53.005         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         -74.880         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000         -96.871         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -118.970         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -141.179         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -163.498         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -185.922         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -208.449         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -231.081         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -253.810         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -276.642         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -299.572         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -322.597         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -345.717         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -368.930         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -392.234         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -415.633         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -439.121         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -462.696         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -486.362         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -510.115         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -533.954         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -557.881         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -581.895         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -605.993         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -630.179         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -654.454         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -678.813         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -703.204         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -727.761         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -752.329         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -777.071         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -801.816         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -826.738         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -851.655         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -876.752         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -901.850         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -927.130         0.000
