Iron (Fe)	Fe1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         403.385         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         387.055         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         378.505         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         369.804         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         369.470         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         360.431         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         351.018         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         341.620         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         331.921         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         312.323         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         292.318         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         271.976         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         251.344         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         230.456         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         209.345         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         188.029         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         166.529         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         144.859         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         123.029         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         101.052         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          78.935         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          56.685         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          34.308         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000          11.813         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         -10.802         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -33.527         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -56.361         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         -79.295         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -102.336         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -125.474         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -148.708         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -172.037         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -195.455         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -218.963         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -240.638         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -266.241         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -289.966         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -313.855         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -337.745         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -361.793         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -385.841         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -410.043         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -434.245         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -458.596         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -482.949         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -507.449         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -531.948         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -556.590         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -581.232         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -606.015         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -630.800         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -655.724         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -680.644         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -705.701         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -730.760         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -755.954         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -781.150         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -806.480         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -831.808         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -857.269         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -882.729         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -908.323         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -933.918         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -959.646         0.000
