Hydrogen (H)	H1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         224.161         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         214.157         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         208.716         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         203.278         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         203.065         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         197.240         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         191.267         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         185.164         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         178.945         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         166.204         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         153.114         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         139.726         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         126.078         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         112.198         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000          98.111         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000          83.834         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000          69.383         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          54.773         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000          40.014         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          25.116         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000          10.089         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000          -5.062         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -20.327         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -35.701         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         -51.180         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         -66.759         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         -82.431         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         -98.194         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -114.044         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -129.977         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -145.988         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -162.080         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -178.243         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -194.478         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -210.784         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -227.155         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -243.592         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -260.093         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -276.654         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -293.273         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -309.953         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -326.686         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -343.476         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -360.319         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -377.212         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -394.157         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -411.151         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -428.194         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -445.286         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -462.422         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -479.603         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -496.828         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -514.097         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -531.410         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -548.763         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -566.157         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -583.590         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -601.064         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -618.576         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -636.124         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -653.710         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -671.332         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -688.993         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -706.685         0.000
