Potassium (K)	K1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000          90.399         0.000
  200.00   0.0   0.0     0.000          0.000     0.000          75.834         0.000
  250.00   0.0   0.0     0.000          0.000     0.000          68.249         0.000
  298.15   0.0   0.0     0.000          0.000     0.000          60.476         0.000
  300.00   0.0   0.0     0.000          0.000     0.000          60.179         0.000
  350.00   0.0   0.0     0.000          0.000     0.000          52.234         0.000
  400.00   0.0   0.0     0.000          0.000     0.000          43.819         0.000
  450.00   0.0   0.0     0.000          0.000     0.000          35.522         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          26.935         0.000
  600.00   0.0   0.0     0.000          0.000     0.000           9.630         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          -8.022         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         -25.972         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         -44.181         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         -62.624         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         -81.274         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000        -100.113         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000        -119.126         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000        -138.298         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000        -157.620         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000        -177.080         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -196.672         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -216.384         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -236.214         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -256.152         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -276.196         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -296.340         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -316.581         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -336.914         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -357.336         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -377.844         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -398.439         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -419.112         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -439.866         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -460.700         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -481.608         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -502.591         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -523.646         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -544.778         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -565.982         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -587.257         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -608.602         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -630.021         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -651.509         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -673.065         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -694.697         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -716.398         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -738.168         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -759.982         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -781.893         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -803.872         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -825.919         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -848.030         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -870.221         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -892.484         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -914.817         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -937.227         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -959.710         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -982.267         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000       -1004.900         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000       -1027.605         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000       -1050.336         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000       -1073.183         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000       -1096.107         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1119.104         0.000
