Lithium (Li)	Li1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         152.245         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         139.835         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         133.305         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         126.594         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         126.338         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         119.403         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         112.133         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         104.919         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          97.403         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          82.256         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          66.759         0.000
  800.00   0.0   0.0     0.000          0.000     0.000          50.966         0.000
  900.00   0.0   0.0     0.000          0.000     0.000          34.911         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000          18.626         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000           2.131         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -14.553         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         -31.410         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         -48.427         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         -65.591         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         -82.896         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -100.330         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -117.886         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -135.559         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -153.339         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -171.226         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -189.213         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -207.294         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -225.464         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -243.724         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -262.069         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -280.495         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -299.001         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -317.582         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -336.238         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -354.969         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -373.770         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -392.638         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -411.575         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -430.578         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -449.648         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -468.783         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -487.979         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -507.236         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -526.558         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -545.937         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -565.381         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -584.883         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -604.440         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -624.057         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -643.732         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -663.468         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -683.258         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -703.104         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -723.008         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -742.941         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -762.987         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -783.030         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -803.186         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -823.342         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -843.610         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -863.879         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -884.259         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -904.639         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -925.131         0.000
