Oxygen (O)	O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         261.642         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         247.139         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         239.401         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         231.736         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         231.438         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         223.292         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         214.991         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         206.555         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         198.000         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         180.581         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         162.809         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         144.733         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         126.397         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         107.826         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000          89.046         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000          70.076         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000          50.931         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          31.625         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000          12.171         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000          -7.422         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         -27.146         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         -46.993         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -66.954         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -87.026         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -107.202         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -127.477         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -147.847         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -168.308         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -188.854         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -209.486         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -230.197         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -250.985         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -271.849         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -292.783         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -313.788         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -334.860         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -356.000         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -377.200         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -398.465         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -419.788         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -441.172         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -462.613         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -484.108         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -505.659         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -527.262         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -548.918         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -570.624         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -592.381         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -614.186         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -636.040         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -657.941         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -679.885         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -701.876         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -723.913         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -745.994         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -768.115         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -790.280         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -812.485         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -834.731         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -857.021         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -879.346         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -901.710         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -924.113         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -946.553         0.000
