Sulfur (S)	S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         267.679         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         252.539         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         244.587         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         236.500         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         236.189         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         227.883         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         219.036         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         210.334         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         201.296         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         183.099         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         164.526         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         145.637         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         126.476         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         107.074         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000          87.455         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000          67.642         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000          47.651         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000          27.497         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000           7.191         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         -13.256         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         -33.835         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         -54.540         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         -75.362         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         -96.297         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -117.337         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -138.477         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -159.718         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -181.049         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -202.471         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -223.981         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -245.572         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -267.246         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -288.997         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -310.821         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -332.720         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -354.692         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -376.732         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -398.841         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -421.014         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -443.248         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -465.549         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -487.911         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -510.331         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -532.807         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -555.315         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -577.929         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -600.548         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -623.270         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -645.995         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -668.820         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -691.645         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -714.566         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -737.492         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -760.508         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -783.526         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -806.632         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -829.740         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -852.932         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -876.127         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -899.403         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -922.683         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -946.041         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -969.400         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -992.836         0.000
