Silicon (Si)	Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         436.713         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         421.600         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         413.611         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         405.528         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         405.217         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         396.801         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         388.074         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         379.352         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         370.383         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         352.263         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         333.789         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         315.012         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         295.972         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         276.700         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         257.217         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         237.543         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         217.693         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         197.681         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         177.518         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         157.212         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         136.772         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         116.207         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          95.521         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000          74.720         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000          53.809         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000          32.793         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000          11.679         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000          -9.535         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000         -30.840         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000         -52.237         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000         -73.718         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000         -95.283         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -116.929         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -138.655         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -160.457         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -182.334         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -204.281         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -226.295         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -248.381         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -270.529         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -292.744         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -315.023         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -337.357         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -359.754         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -382.210         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -404.717         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -427.283         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -449.905         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -472.575         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -495.298         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -518.073         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -540.892         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -563.762         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -586.682         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -609.645         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -632.658         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -655.707         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -678.807         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -701.944         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -725.125         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -748.350         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -771.615         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -794.919         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -818.264         0.000
