Titanium (Ti)	Ti1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         462.462         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         446.281         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         437.741         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         429.044         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         428.711         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         419.687         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         410.305         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         400.949         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         391.314         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         371.871         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         352.061         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         331.942         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         311.552         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         290.925         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         270.084         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         249.050         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         227.836         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         206.453         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         184.916         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         163.230         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         141.404         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         119.439         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000          97.347         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000          75.127         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000          52.784         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000          30.323         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000           7.743         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         -14.951         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000         -37.754         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000         -60.669         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000         -83.689         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -106.818         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -130.051         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -153.384         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -176.822         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -200.359         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -223.997         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -247.730         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -271.561         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -295.487         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -319.507         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -343.623         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -367.827         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -392.129         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -416.515         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -440.994         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -465.562         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -490.215         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -514.957         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -539.787         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -564.699         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -589.697         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -614.776         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -639.938         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -665.144         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -690.510         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -715.873         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -741.394         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -766.915         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -792.589         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -818.263         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -844.085         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -869.908         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -895.876         0.000
