Zirconium (Zr)	Zr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         601.249         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         584.568         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         575.880         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         567.046         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         566.708         0.000
  350.00   0.0   0.0     0.000          0.000     0.000         557.543         0.000
  400.00   0.0   0.0     0.000          0.000     0.000         548.011         0.000
  450.00   0.0   0.0     0.000          0.000     0.000         538.489         0.000
  500.00   0.0   0.0     0.000          0.000     0.000         528.680         0.000
  600.00   0.0   0.0     0.000          0.000     0.000         508.845         0.000
  700.00   0.0   0.0     0.000          0.000     0.000         488.601         0.000
  800.00   0.0   0.0     0.000          0.000     0.000         468.010         0.000
  900.00   0.0   0.0     0.000          0.000     0.000         447.120         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         425.957         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         404.546         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         382.906         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         361.047         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000         338.980         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000         316.715         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000         294.261         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000         271.627         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000         248.817         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000         225.839         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000         202.702         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000         179.409         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000         155.968         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000         132.383         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000         108.658         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000          84.802         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000          60.816         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000          36.704         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000          12.470         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000         -11.880         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000         -36.344         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000         -60.922         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000         -85.608         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -110.403         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -135.300         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -160.300         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -185.400         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -210.596         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -235.891         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -261.279         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -286.758         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -312.329         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -337.988         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -363.739         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -389.575         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -415.494         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -441.496         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -467.583         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -493.750         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -519.999         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -546.322         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -572.687         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -599.204         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -625.722         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -652.388         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -679.051         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000        -705.856         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000        -732.664         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000        -759.609         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000        -786.552         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000        -813.629         0.000
