Chlorine (Cl)	Cl1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
  100.00   0.0   0.0     0.000          0.000     0.000         136.147         0.000
  200.00   0.0   0.0     0.000          0.000     0.000         121.126         0.000
  250.00   0.0   0.0     0.000          0.000     0.000         113.170         0.000
  298.15   0.0   0.0     0.000          0.000     0.000         105.306         0.000
  300.00   0.0   0.0     0.000          0.000     0.000         105.001         0.000
  350.00   0.0   0.0     0.000          0.000     0.000          96.648         0.000
  400.00   0.0   0.0     0.000          0.000     0.000          88.135         0.000
  450.00   0.0   0.0     0.000          0.000     0.000          79.483         0.000
  500.00   0.0   0.0     0.000          0.000     0.000          70.703         0.000
  600.00   0.0   0.0     0.000          0.000     0.000          52.815         0.000
  700.00   0.0   0.0     0.000          0.000     0.000          34.544         0.000
  800.00   0.0   0.0     0.000          0.000     0.000          15.949         0.000
  900.00   0.0   0.0     0.000          0.000     0.000          -2.930         0.000
 1000.00   0.0   0.0     0.000          0.000     0.000         -22.057         0.000
 1100.00   0.0   0.0     0.000          0.000     0.000         -41.408         0.000
 1200.00   0.0   0.0     0.000          0.000     0.000         -60.959         0.000
 1300.00   0.0   0.0     0.000          0.000     0.000         -80.694         0.000
 1400.00   0.0   0.0     0.000          0.000     0.000        -100.597         0.000
 1500.00   0.0   0.0     0.000          0.000     0.000        -120.656         0.000
 1600.00   0.0   0.0     0.000          0.000     0.000        -140.858         0.000
 1700.00   0.0   0.0     0.000          0.000     0.000        -161.196         0.000
 1800.00   0.0   0.0     0.000          0.000     0.000        -181.660         0.000
 1900.00   0.0   0.0     0.000          0.000     0.000        -202.244         0.000
 2000.00   0.0   0.0     0.000          0.000     0.000        -222.941         0.000
 2100.00   0.0   0.0     0.000          0.000     0.000        -243.744         0.000
 2200.00   0.0   0.0     0.000          0.000     0.000        -264.647         0.000
 2300.00   0.0   0.0     0.000          0.000     0.000        -285.649         0.000
 2400.00   0.0   0.0     0.000          0.000     0.000        -306.742         0.000
 2500.00   0.0   0.0     0.000          0.000     0.000        -327.923         0.000
 2600.00   0.0   0.0     0.000          0.000     0.000        -349.190         0.000
 2700.00   0.0   0.0     0.000          0.000     0.000        -370.538         0.000
 2800.00   0.0   0.0     0.000          0.000     0.000        -391.964         0.000
 2900.00   0.0   0.0     0.000          0.000     0.000        -413.465         0.000
 3000.00   0.0   0.0     0.000          0.000     0.000        -435.040         0.000
 3100.00   0.0   0.0     0.000          0.000     0.000        -456.683         0.000
 3200.00   0.0   0.0     0.000          0.000     0.000        -478.395         0.000
 3300.00   0.0   0.0     0.000          0.000     0.000        -500.173         0.000
 3400.00   0.0   0.0     0.000          0.000     0.000        -522.015         0.000
 3500.00   0.0   0.0     0.000          0.000     0.000        -543.918         0.000
 3600.00   0.0   0.0     0.000          0.000     0.000        -565.882         0.000
 3700.00   0.0   0.0     0.000          0.000     0.000        -587.904         0.000
 3800.00   0.0   0.0     0.000          0.000     0.000        -609.981         0.000
 3900.00   0.0   0.0     0.000          0.000     0.000        -632.115         0.000
 4000.00   0.0   0.0     0.000          0.000     0.000        -654.304         0.000
 4100.00   0.0   0.0     0.000          0.000     0.000        -676.543         0.000
 4200.00   0.0   0.0     0.000          0.000     0.000        -698.834         0.000
 4300.00   0.0   0.0     0.000          0.000     0.000        -721.173         0.000
 4400.00   0.0   0.0     0.000          0.000     0.000        -743.562         0.000
 4500.00   0.0   0.0     0.000          0.000     0.000        -766.000         0.000
 4600.00   0.0   0.0     0.000          0.000     0.000        -788.483         0.000
 4700.00   0.0   0.0     0.000          0.000     0.000        -811.013         0.000
 4800.00   0.0   0.0     0.000          0.000     0.000        -833.586         0.000
 4900.00   0.0   0.0     0.000          0.000     0.000        -856.202         0.000
 5000.00   0.0   0.0     0.000          0.000     0.000        -878.862         0.000
 5100.00   0.0   0.0     0.000          0.000     0.000        -901.562         0.000
 5200.00   0.0   0.0     0.000          0.000     0.000        -924.305         0.000
 5300.00   0.0   0.0     0.000          0.000     0.000        -947.086         0.000
 5400.00   0.0   0.0     0.000          0.000     0.000        -969.909         0.000
 5500.00   0.0   0.0     0.000          0.000     0.000        -992.771         0.000
 5600.00   0.0   0.0     0.000          0.000     0.000       -1015.668         0.000
 5700.00   0.0   0.0     0.000          0.000     0.000       -1038.604         0.000
 5800.00   0.0   0.0     0.000          0.000     0.000       -1061.578         0.000
 5900.00   0.0   0.0     0.000          0.000     0.000       -1084.584         0.000
 6000.00   0.0   0.0     0.000          0.000     0.000       -1107.629         0.000
