vacuum
lam[mu]  n       k  
      0.10000000      1.00000      0.00000
      0.10046158      1.00000      0.00000
      0.10092529      1.00000      0.00000
      0.10139114      1.00000      0.00000
      0.10185914      1.00000      0.00000
      0.10232930      1.00000      0.00000
      0.10280163      1.00000      0.00000
      0.10327614      1.00000      0.00000
      0.10375284      1.00000      0.00000
      0.10423174      1.00000      0.00000
      0.10471285      1.00000      0.00000
      0.10519619      1.00000      0.00000
      0.10568175      1.00000      0.00000
      0.10616956      1.00000      0.00000
      0.10665961      1.00000      0.00000
      0.10715193      1.00000      0.00000
      0.10764652      1.00000      0.00000
      0.10814340      1.00000      0.00000
      0.10864256      1.00000      0.00000
      0.10914403      1.00000      0.00000
      0.10964782      1.00000      0.00000
      0.11015393      1.00000      0.00000
      0.11066238      1.00000      0.00000
      0.11117317      1.00000      0.00000
      0.11168632      1.00000      0.00000
      0.11220185      1.00000      0.00000
      0.11271975      1.00000      0.00000
      0.11324004      1.00000      0.00000
      0.11376273      1.00000      0.00000
      0.11428783      1.00000      0.00000
      0.11481536      1.00000      0.00000
      0.11534533      1.00000      0.00000
      0.11587774      1.00000      0.00000
      0.11641260      1.00000      0.00000
      0.11694994      1.00000      0.00000
      0.11748976      1.00000      0.00000
      0.11803206      1.00000      0.00000
      0.11857687      1.00000      0.00000
      0.11912420      1.00000      0.00000
      0.11967405      1.00000      0.00000
      0.12022644      1.00000      0.00000
      0.12078138      1.00000      0.00000
      0.12133889      1.00000      0.00000
      0.12189896      1.00000      0.00000
      0.12246162      1.00000      0.00000
      0.12302688      1.00000      0.00000
      0.12359474      1.00000      0.00000
      0.12416523      1.00000      0.00000
      0.12473835      1.00000      0.00000
      0.12531412      1.00000      0.00000
      0.12589254      1.00000      0.00000
      0.12647363      1.00000      0.00000
      0.12705741      1.00000      0.00000
      0.12764388      1.00000      0.00000
      0.12823306      1.00000      0.00000
      0.12882496      1.00000      0.00000
      0.12941958      1.00000      0.00000
      0.13001696      1.00000      0.00000
      0.13061709      1.00000      0.00000
      0.13121999      1.00000      0.00000
      0.13182567      1.00000      0.00000
