Ca2Al2SiO7    5.91397E+04 -1.72786E+06  4.31215E+02 -6.84213E-03  2.20784E-07
Ca2MgSi2O7    1.31975E+05 -1.68718E+06  4.22753E+02 -6.38360E-03  2.78014E-07
Cr            6.17328E+04 -9.56115E+04  3.75174E+01 -1.61253E-03  0.00000E+00
Cu	      0.00000E+00 -8.05270E+04  3.16197E+01 -3.12256E-04 -2.24747E-07
Fe	      0.00000E+00 -9.76386E+04  3.55605E+01 -1.12348E-03  0.00000E+00
Ni	      1.66988E+04 -1.02906E+05  3.68634E+01 -1.06761E-03  0.00000E+00
Ti	      2.90573E+04 -1.13645E+05  3.71710E+01 -1.58239E-03  0.00000E+00
V	      7.93828E+04 -1.23880E+05  3.79268E+01 -9.12935E-04  0.00000E+00
Zr	      0.00000E+00 -1.45640E+05  3.38296E+01  0.00000E+00  0.00000E+00
AlN	     -1.29718E+04 -2.67991E+05  7.23048E+01 -5.98131E-04  0.00000E+00
CaO	     -4.65399E+03 -2.54265E+05  6.72853E+01 -1.67646E-03  1.10392E-07
CaS	      0.00000E+00 -2.21826E+05  6.34430E+01 -1.06294E-03  0.00000E+00
CrN	     -8.70526E+04 -2.35276E+05  6.86783E+01 -1.02724E-03  0.00000E+00
CuO	     -7.88685E+03 -1.77516E+05  6.88121E+01 -1.48786E-03  0.00000E+00
FeO	     -6.05591E+04 -2.22156E+05  6.78769E+01 -1.52278E-03  0.00000E+00
FeS	     -6.83787E+04 -1.88620E+05  6.70590E+01 -2.31838E-03  0.00000E+00
MgO	      4.38728E+03 -2.38741E+05  6.86582E+01 -1.19852E-03  5.72304E-08
MgS	     -7.93442E+04 -1.83584E+05  6.33920E+01 -8.54820E-04  0.00000E+00
MnS	      1.12482E+05 -1.81938E+05  5.87107E+01  8.89360E-05 -4.20876E-09
TiN	     -3.38116E+04 -3.07311E+05  7.44178E+01 -1.75027E-03  1.35490E-07
VN	      6.31016E+04 -2.88829E+05  7.31369E+01 -1.08247E-03  0.00000E+00
ZrN	     -3.15923E+05 -3.44739E+05  6.99423E+01  4.55386E-04 -1.44494E-07
NiS	     -4.32421E+04 -1.89653E+05  7.16749E+01 -2.50684E-03  0.00000E+00
TiO	      3.28504E+04 -3.03028E+05  7.52895E+01 -1.92237E-03  0.00000E+00
VO	      3.91638E+04 -2.86454E+05  7.43777E+01 -1.80699E-03  0.00000E+00
FeS2	      5.31652E+04 -2.73524E+05  1.13198E+02 -1.78443E-03  0.00000E+00
NiS2	      0.00000E+00 -2.66982E+05  1.08176E+02 -1.96812E-03  0.00000E+00
SiO2	      0.00000E+00 -4.44364E+05  1.08531E+02 -6.59213E-04  0.00000E+00
TiO2	      1.65647E+04 -4.56962E+05  1.09445E+02 -1.16984E-03  0.00000E+00
ZrO2	      6.12358E+05 -5.30387E+05  1.12671E+02 -1.57092E-03  1.19286E-07
Al2O3	      0.00000E+00 -7.32976E+05  1.84782E+02 -2.57313E-03  0.00000E+00
Al2S3	      4.57443E+04 -5.12582E+05  1.74031E+02 -3.20612E-03  0.00000E+00
CaSiO3	      6.37937E+04 -7.21819E+05  1.77647E+02 -2.59254E-03  1.10392E-07
CaTiO3	      1.19107E+04 -7.30327E+05  1.75930E+02 -2.84630E-03  1.10392E-07
Cr2O3	     -2.86623E+05 -6.37888E+05  1.77950E+02 -1.62622E-03  0.00000E+00
Fe2O3        -9.09265E+01 -5.75261E+05  1.85908E+02 -7.14322E-03  8.63059E-07
Mg3N2	      0.00000E+00 -4.41854E+05  1.59422E+02 -1.84289E-03  0.00000E+00
MgSiO3	      8.74400E+03 -6.92565E+05  1.77877E+02 -1.41412E-03  0.00000E+00
MgTiO3	     -1.37112E+04 -7.03325E+05  1.78643E+02 -2.41685E-03  0.00000E+00
MnSiO3	      2.27080E+05 -6.65096E+05  1.70330E+02 -7.89153E-04 -8.68715E-09
Ni3S2	      3.12877E+05 -5.01379E+05  2.14522E+02 -3.99302E-02  7.88559E-06
Ti2O3	     -3.85203E+05 -7.65637E+05  1.81330E+02 -2.95252E-03  0.00000E+00
V2O3	      1.41422E+05 -7.17822E+05  1.82983E+02 -3.39156E-03  0.00000E+00
K2SiO3	     -5.64799E+04 -6.99097E+05  2.00777E+02 -5.43102E-03  0.00000E+00
Na2SiO3	      4.63483E+04 -7.12298E+05  2.06928E+02 -4.88925E-03  0.00000E+00
ZrSiO4	      5.65516E+04 -9.76847E+05  2.21615E+02 -1.18961E-03  0.00000E+00
V2O4	     -3.21514E+04 -8.24355E+05  2.13380E+02 -3.06112E-03  0.00000E+00
MgAl2O4	      2.50397E+05 -9.83584E+05  2.54352E+02 -4.24568E-03  0.00000E+00
Ca2SiO4	      5.91397E+04 -9.82384E+05  2.41633E+02 -4.26900E-03  2.20784E-07
Fe2SiO4	      6.84477E+04 -9.02146E+05  2.51045E+02 -4.44028E-03  0.00000E+00
Fe3O4	     -2.65969E+05 -8.02113E+05  2.50818E+02 -8.44240E-03  9.00692E-07
Mg2SiO4	      7.52334E+04 -9.38369E+05  2.47581E+02 -3.14980E-03  0.00000E+00
V2O5	     -3.50957E+05 -9.11925E+05  2.45546E+02  0.00000E+00  0.00000E+00
Al2SiO5	      5.30369E+05 -1.18951E+06  3.05928E+02 -8.06439E-03  9.49548E-07
MgTi2O5	      3.07902E+05 -1.16223E+06  2.88995E+02 -4.64108E-03  0.00000E+00
Ti3O5	      0.00000E+00 -1.21950E+06  2.65435E+02  3.21994E-02 -1.39200E-05
CaMgSi2O6     1.36629E+05 -1.42281E+06  3.59968E+02 -4.70714E-03  1.67622E-07
Ti4O7	      0.00000E+00 -1.68437E+06  3.99611E+02 -6.01231E-03  0.00000E+00
Ca2Al2SiO7    5.91397E+04 -1.72786E+06  4.31215E+02 -6.84213E-03  2.20784E-07
CaAl2Si2O8    1.32241E+05 -1.87815E+06  4.71591E+02 -6.08175E-03  1.10392E-07
KAlSi3O8      0.00000E+00 -1.83930E+06  4.49643E+02  0.00000E+00  0.00000E+00
NaAlSi3O8     0.00000E+00 -1.83381E+06  4.49940E+02  0.00000E+00  0.00000E+00
Al6Si2O13     1.45834E+06 -3.10989E+06  7.91711E+02 -2.32691E-02  3.19284E-06




