36  Woitke re-fits, some Stock&Kietzmann Tsuji-refits
TiC         2   Ti C  1  1         : Gauger hard-coded, priv.comm.
 1  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
(WO3)4      2   W  O  4 12         : Woitke NIST ! +/- 1.0
 4  1.10378E+06 -8.63079E+00 -1.87610E+02  6.13614E-03 -5.89433E-07
(WO3)3      2   W  O  3  9         : Woitke NIST ! +/- 1.1
 4  8.17838E+05 -8.05561E+00 -1.24426E+02  5.41494E-03 -5.27128E-07
W3O8        2   W  O  3  8         : Woitke NIST ! +/- 0.81
 4  7.50529E+05 -6.78493E+00 -1.14407E+02  4.29334E-03 -4.24109E-07
(WO3)2      2   W  O  2  6         : Woitke NIST ! +/- 0.94
 4  5.23332E+05 -3.64727E+00 -8.39396E+01  1.81177E-03 -1.58830E-07
WO2Cl2      3   W  O Cl  1  2  2   : Woitke NIST ! +/- 0.46
 4  2.71271E+05 -3.29372E+00 -3.51848E+01  1.14648E-03 -8.88251E-08
WF          2   W  F  1  1         : Woitke NIST ! +/- 0.095
 4  6.50683E+04 -1.23658E+00 -1.50575E+00  1.23019E-04 -2.94188E-08
WCL         2   W Cl  1  1         : Woitke NIST ! +/- 0.50
 4  5.00275E+04 -1.10972E+00 -1.72470E+00 -2.74247E-04  1.37409E-08
H2WO4       3   H  W  O  2  1  4   : Woitke NIST ! +/- 0.33
 4  3.81291E+05 -8.84105E+00 -2.70678E+01  5.34328E-03 -5.38002E-07
HS          2   H  S  1  1         : Woitke NIST ! +/- 0.13
 4  4.23352E+04 -1.58869E+00 -1.54130E-02  2.52514E-04 -9.19992E-09
PH2         2   H  P  2  1         : Woitke NIST ! +/- 0.30
 4  7.43018E+04 -3.79856E+00  3.13658E+00  1.11063E-03 -6.69289E-08
PH          2   H  P  1  1         : Woitke NIST ! +/- 0.059
 4  3.33009E+04 -1.75432E+00  1.65582E+00  4.35721E-04 -2.40582E-08
PN          2   N  P  1  1         : Woitke NIST ! +/- 0.19
 4  8.18598E+04 -1.60139E+00 -2.22616E+00  5.05120E-04 -3.89487E-08
SO2         2   O  S  2  1         : Woitke NIST ! +/- 0.70
 4  1.27906E+05 -3.67906E+00 -5.08265E+00  1.37776E-03 -8.62652E-08
SO3         2   O  S  3  1         : Woitke NIST ! +/- 0.23
 4  1.69072E+05 -6.83665E+00 -3.85450E+00  4.24812E-03 -4.33827E-07
S2O         2   O  S  1  2         : Woitke NIST ! +/- 0.22
 4  1.02405E+05 -3.51345E+00 -4.79343E+00  1.42762E-03 -8.75934E-08
MgClF       3   Cl F Mg  1  1  1   : Woitke NIST ! +/- 0.29
 4  1.09651E+05 -2.12483E+00 -1.15990E+01  6.93435E-04 -4.54707E-08
WO          2   O  W  1  1         : Woitke NIST ! +/- 0.20
 4  8.07011E+04 -1.64832E+00  6.20649E-01  1.02786E-06 -1.00770E-08
WO2         2   O  W  2  1         : Woitke NIST ! +/- 0.22
