924
Al-         2   Al el 1 1
  4     5135.93   -2.58172   15.0838   0.000146142   -1.02707e-08           
Al+         2   Al el 1 -1
  4     -69384.9   2.46517   -15.7629   1.61e-05   -1.16897e-09           
AlBO2         3   Al B O 1 1 2
  4     231479.0   -2.8252   -26.7313   0.00100198   -5.72097e-08           
AlBr         2   Al Br 1 1
  4     51073.5   -0.471907   -8.88958   -7.4338e-05   7.00351e-09           
AlBr3         2   Al Br 1 3
  4     129411.0   -0.073778   -40.4962   -0.000212587   1.17691e-08           
AlC         2   Al C 1 1
  4     42703.7   -0.901708   -6.11243   0.000189365   -1.16993e-08           
AlCl         2   Al Cl 1 1
  4     60172.6   -0.982189   -5.80775   0.000165775   -6.11193e-09           
AlCl+         3   Al Cl el 1 1 -1
  4     -48973.6   1.411   -18.8107   0.000188111   -2.10058e-09           
AlClF         3   Al Cl F 1 1 1
  4     122290.0   -1.60845   -14.3672   0.000372486   -1.98494e-08           
AlClF+         4   Al Cl F el 1 1 1 -1
  4     31071.3   1.31559   -34.2379   0.000407261   -2.25287e-08           
AlClF2         3   Al Cl F 1 1 2
  4     193130.0   -1.901   -30.0532   0.000668641   -3.72955e-08           
AlOCl         3   Al Cl O 1 1 1
  4     125832.0   -1.22293   -21.3795   0.000432404   -2.48564e-08           
AlCl2         2   Al Cl 1 2
  4     102155.0   -1.52215   -14.7912   0.000311627   -1.5587e-08           
AlCl2-         3   Al Cl el 1 2 1
  4     125579.0   -3.94628   -1.48134   0.000281382   -1.37037e-08           
AlCl2+         3   Al Cl el 1 2 -1
  4     11439.0   1.39405   -34.3748   0.000349853   -1.84798e-08           
AlCl2F         3   Al Cl F 1 2 1
  4     173107.0   -1.75884   -29.9858   0.000588482   -3.19785e-08           
AlCl3         2   Al Cl 1 3
  4     153343.0   -1.63768   -31.0467   0.000515664   -2.70655e-08           
AlF         2   Al F 1 1
  4     80902.7   -1.09464   -5.96191   0.000236759   -1.17831e-08           
AlF+         3   Al F el 1 1 -1
  4     -33705.4   0.843636   -15.9807   0.000639666   -3.27819e-08           
AlOF         3   Al F O 1 1 1
  4     148870.0   -1.37368   -21.1531   0.000514777   -3.02703e-08           
AlF2         2   Al F 1 2
  4     141911.0   -1.7358   -15.1383   0.000446882   -2.48292e-08           
AlF2-         3   Al F el 1 2 1
  4     166847.0   -4.16406   -1.87501   0.000424641   -2.39215e-08           
AlF2+         3   Al F el 1 2 -1
  4     48172.3   1.17093   -35.1082   0.000487284   -2.78056e-08           
AlF2O         3   Al F O 1 2 1
  4     221740.0   -1.8298   -30.7239   0.000662317   -3.43978e-08           
AlF2O-         4   Al F O el 1 2 1 1
  4     245136.0   -4.40725   -16.9695   0.000708766   -4.1211e-08           
AlF3         2   Al F 1 3
  4     213367.0   -2.05187   -30.9713   0.000751218   -4.27263e-08           
AlF4-         3   Al F el 1 4 1
  4     316357.0   -4.40893   -34.8435   0.000887754   -5.06459e-08           
LiAlF4         3   Al F Li 1 4 1
  4     319697.0   -1.9646   -61.8249   0.00114317   -7.07626e-08           
NaAlF4         3   Al F Na 1 4 1
  4     311975.0   -1.70831   -62.9805   0.00104098   -6.36455e-08           
AlH         2   Al H 1 1
  4     34288.7   -1.51855   -1.14794   0.000383819   -1.87632e-08           
AlOH         3   Al H O 1 1 1
  4     116643.0   -3.49644   -4.46506   0.00106912   -5.30554e-08           
HAlO         3   Al H O  1 1 1
  4     91273.6   -2.61419   -10.5748   0.000935627   -5.57776e-08           
AlOH-         4   Al H O el 1 1 1 1
  4     122012.0   -5.51846   9.67964   0.000733455   -3.74812e-08           
AlOH+         4   Al H O el 1 1 1 -1
  4     30424.3   -0.637578   -19.55   0.00095529   -4.98767e-08           
AlO2H         3   Al H O 1 1 2
  4     180386.0   -3.42803   -19.8423   0.00108737   -5.85448e-08           
AlI         2   Al I 1 1
  4     44191.7   -0.517909   -8.33115   1.39e-05   4.53327e-10           
AlI3         2   Al I 1 3
  4     101415.0   -0.247086   -38.6434   8.33e-05   -1.20177e-08           
AlN         2   Al N 1 1
  4     33380.5   -0.912019   -4.84637   0.000197911   -1.11046e-08           
AlO         2   Al O 1 1
  4     61107.7   -1.7902   -1.35971   0.000768615   -3.9315e-08           
AlO-         3   Al O el 1 1 1
  4     101036.0   -3.56282   7.493   0.000231304   -1.23579e-08           
AlO+         3   Al O el 1 1 -1
  4     -49255.1   1.64346   -20.1385   0.000224552   -1.28953e-08           
AlO2         2   Al O 1 2
  4     109779.0   -1.02797   -21.862   0.000381694   -2.17081e-08           
AlO2-         3   Al O el 1 2 1
  4     157443.0   -3.81188   -7.84723   0.000497451   -3.00138e-08           
AlS         2   Al S 1 1
  4     43852.1   -1.73346   -1.15384   0.000841827   -4.98671e-08           
Al2         1   Al 2
  4     20816.1   0.198352   -12.8542   -0.000149552   1.17923e-08           
Al2Br6         2   Al Br 2 6
  4     273417.0   1.88935   -112.866   -0.00043785   2.42277e-08           
Al2Cl6         2   Al Cl 2 6
  4     322505.0   -1.31147   -93.8002   0.00104696   -5.50934e-08           
(AlF3)2         2   Al F 2 6
  4     453134.0   -2.4974   -92.9287   0.00165542   -9.43913e-08           
Al2I6         2   Al I 2 6
  4     215823.0   1.59351   -109.253   0.000134166   -2.21796e-08           
Al2O         2   Al O 2 1
  4     126583.0   -0.880611   -23.1266   0.000335552   -2.01455e-08           
Al2O+         3   Al O el 2 1 -1
  4     31409.4   1.70485   -36.8881   0.00030969   -1.90676e-08           
Al2O2         2   Al O 2 2
  4     186515.0   -1.16079   -37.3783   0.00045868   -2.85415e-08           
Al2O2+         3   Al O el 2 2 -1
  4     71578.3   1.46107   -51.3076   0.000413495   -2.59657e-08           
Ar         1   Ar 1
  4     0.0   0.0   0.0   0.0   0.0           
Ar+         2   Ar el 1 -1
  4     -182807.0   2.72115   -14.3729   -8.37e-06   -1.32114e-09           
B         1   B 1
  4     0.0   0.0   0.0   0.0   0.0           
B-         2   B el 1 1
  4     3218.26   -2.50521   14.6607   3.7e-06   -3.60172e-10           
B+         2   B el 1 -1
  4     -96286.2   2.49816   -16.0004   1.4e-06   -1.42411e-10           
B10H14         2   B H 10 14
  4     1028940.0   -29.8058   -148.757   0.0132785   -7.15014e-07           
BBeO2         3   B Be O 1 1 2
  4     223577.0   -3.11716   -21.9698   0.00113659   -6.76068e-08           
BBr         2   B Br 1 1
  4     52460.3   -0.677975   -8.01098   9.62e-06   6.75047e-10           
BBrCl         3   B Br Cl 1 1 1
  4     96304.1   -1.47243   -15.087   0.000245434   -1.31418e-08           
BBrCl2         3   B Br Cl 1 1 2
  4     150110.0   -1.79343   -30.5001   0.00051534   -2.75581e-08           
BBrF         3   B Br F 1 1 1
  4     118913.0   -1.71351   -14.4611   0.00035579   -1.99794e-08           
BBrF2         3   B Br F 1 1 2
  4     198051.0   -2.4425   -27.8631   0.000786686   -4.37849e-08           
BBrO         3   B Br O 1 1 1
  4     140673.0   -1.39762   -20.0591   0.000399978   -2.23731e-08           
BBr2         2   B Br 1 2
  4     86511.9   -0.91424   -19.2022   -9.26e-06   4.29518e-10           
BBr2Cl         3   B Br Cl 1 2 1
  4     141326.0   -1.21776   -34.0158   0.000253901   -1.35941e-08           
BBr2F         3   B Br F 1 2 1
  4     165427.0   -1.52028   -32.823   0.000382049   -2.12972e-08           
BBr2H         3   B Br H 1 2 1
  4     132500.0   -2.5489   -22.9351   0.000660844   -3.43563e-08           
BBr3         2   B Br 1 3
  4     132194.0   -0.62895   -38.7067   -1.23e-05   6.36667e-10           
BC         2   B C 1 1
  4     53590.7   -1.30047   -3.97295   0.000309468   -1.81881e-08           
BCl         2   B Cl 1 1
  4     64615.4   -1.24161   -4.59424   0.000265882   -1.29885e-08           
BCl+         3   B Cl el 1 1 -1
  4     -66085.9   1.26312   -18.1374   0.00026054   -1.25969e-08           
BClF         3   B Cl F 1 1 1
  4     128698.0   -2.28663   -10.8988   0.000613281   -3.3626e-08           
BClF2         3   B Cl F 1 1 2
  4     206879.0   -3.04824   -24.1653   0.00105878   -5.83421e-08           
BClO         3   B Cl O 1 1 1
  4     149500.0   -1.99635   -16.3896   0.000667006   -3.65734e-08           
BCl2         2   B Cl 1 2
  4     105641.0   -1.81186   -13.6456   0.00040481   -1.80269e-08           
BCl2-         3   B Cl el 1 2 1
  4     112944.0   -4.3382   -0.0262554   0.000377514   -1.11226e-08           
BCl2+         3   B Cl el 1 2 -1
  4     15921.4   1.29009   -33.6455   0.000373157   -1.82598e-08           
BCl2F         3   B Cl F 1 2 1
  4     182992.0   -2.67766   -25.6715   0.000906869   -4.93271e-08           
BCl2H         3   B Cl H 1 2 1
  4     151711.0   -3.76579   -15.6025   0.00120554   -6.34544e-08           
BCl3         2   B Cl 1 3
  4     159037.0   -2.41909   -27.7153   0.000794009   -4.24629e-08           
BF         2   B F 1 1
  4     90471.4   -1.51638   -3.63817   0.000371746   -1.95179e-08           
BFO         3   B F O 1 1 1
  4     178845.0   -2.27894   -15.4288   0.000791146   -4.41574e-08           
BF2         2   B F 1 2
  4     156891.0   -2.32959   -12.0513   0.000643365   -3.47218e-08           
BF2-         3   B F el 1 2 1
  4     181661.0   -4.82937   1.4035   0.000613177   -2.95256e-08           
BF2+         3   B F el 1 2 -1
  4     47989.1   0.551329   -31.4766   0.000684692   -3.78528e-08           
BF2H         3   B F H 1 2 1
  4     199922.0   -4.5037   -12.3889   0.00150091   -8.07879e-08           
BF2HO         4   B F H O 1 2 1 1
  4     271767.0   -5.51337   -22.4391   0.00194964   -1.04321e-07           
BF2O         3   B F O 1 2 1
  4     216466.0   -3.05906   -24.5972   0.00109486   -6.08914e-08           
BF3         2   B F 1 3
  4     231889.0   -3.38097   -23.811   0.00119606   -6.65097e-08           
BF4K         3   B F K 1 4 1
  4     302351.0   -3.42216   -55.0618   0.00168197   -1.05601e-07           
BH         2   B H 1 1
  4     39860.1   -1.73349   -0.232408   0.000401777   -1.83718e-08           
BHO         3   B H O 1 1 1
  4     146644.0   -3.12703   -7.15911   0.000981196   -5.14228e-08           
BHO-         4   B H O el 1 1 1 1
  4     151443.0   -5.63239   10.0868   0.000875571   -4.42918e-08           
BHO+         4   B H O el 1 1 1 -1
  4     -19299.0   -0.663507   -19.7656   0.00106063   -5.51378e-08           
BHO2         3   B H O 1 1 2
  4     219811.0   -4.7222   -11.8166   0.0014582   -7.65798e-08           
BHS         3   B H S 1 1 1
  4     120202.0   -2.83119   -8.50275   0.000902165   -4.89242e-08           
BHS+         4   B H S el 1 1 1 -1
  4     -8809.07   -0.0894439   -23.0251   0.00084315   -4.6843e-08           
BH2         2   B H 1 2
  4     94803.2   -3.35648   -2.71841   0.00102253   -5.21474e-08           
BH2O2         3   B H O 1 2 2
  4     235876.0   -5.44358   -20.1963   0.00192526   -1.03228e-07           
BH3         2   B H 1 3
  4     131552.0   -6.27741   3.48203   0.00184205   -9.15871e-08           
BH3O3         3   B H O 1 3 3
  4     353121.0   -8.97292   -24.8278   0.00277342   -1.44986e-07           
BI         2   B I 1 1
  4     43286.4   -0.706508   -7.61815   0.000100317   -6.69655e-09           
BI2         2   B I 1 2
  4     63627.7   -1.00948   -18.2496   0.00018153   -1.50899e-08           
BI3         2   B I 1 3
  4     97235.1   -0.657451   -37.7448   0.000232481   -2.03131e-08           
BKO2         3   B K O 1 1 2
  4     218505.0   -2.56549   -24.4489   0.00100023   -6.81393e-08           
BLiO2         3   B Li O 1 1 2
  4     223695.0   -2.59316   -24.427   0.000960655   -6.00675e-08           
BN         2   B N 1 1
  4     66467.0   -1.44964   -1.93839   0.000358289   -1.81558e-08           
BNaO2         3   B Na O 1 1 2
  4     217654.0   -2.52089   -25.1593   0.000928935   -5.70323e-08           
BO         2   B O 1 1
  4     96898.0   -1.64747   -2.63267   0.000385285   -2.01805e-08           
BO2         2   B O 1 2
  4     161167.0   -1.74584   -18.5888   0.000632532   -3.61634e-08           
BO2-         3   B O el 1 2 1
  4     209540.0   -4.95257   -1.40332   0.000837261   -4.68602e-08           
BS         2   B S 1 1
  4     71102.2   -1.39847   -3.63772   0.000314341   -1.64131e-08           
B2         1   B 2
  4     34899.2   -0.352242   -10.5309   5.58e-05   -4.07094e-09           
B2BeO4         3   B Be O 2 1 4
  4     455239.0   -4.74403   -62.0932   0.00225506   -1.31319e-07           
B2Cl4         2   B Cl 2 4
  4     251224.0   -3.17752   -53.1463   0.00122329   -6.59595e-08           
B2F4         2   B F 2 4
  4     344218.0   -4.6058   -46.1662   0.00181815   -1.01513e-07           
B2F4O         3   B F O 2 4 1
  4     429874.0   -6.46197   -51.5346   0.00261579   -1.45257e-07           
B2H4O4         3   B H O 2 4 4
  4     511644.0   -10.6165   -60.4022   0.00412724   -2.17947e-07           
B2H6         2   B H 2 6
  4     284378.0   -11.8897   -15.9417   0.00445621   -2.34288e-07           
B2O         2   B O 2 1
  4     152490.0   -2.59362   -12.2264   0.000726248   -4.06435e-08           
B2O2         2   B O 2 2
  4     248935.0   -2.66765   -29.6341   0.00107157   -5.93985e-08           
B2O3         2   B O 2 3
  4     324368.0   -3.75784   -37.1622   0.00145613   -8.13152e-08           
B3Cl3O3         3   B Cl O 3 3 3
  4     531316.0   -4.47872   -99.8446   0.00247123   -1.39495e-07           
B3FH2O3         4   B F H O 3 1 2 3
  4     544495.0   -8.67768   -68.0839   0.00383985   -2.11863e-07           
B3F2HO3         4   B F H O 3 2 1 3
  4     574964.0   -7.4912   -79.4816   0.00352014   -1.97032e-07           
B3F3O3         3   B F O 3 3 3
  4     604089.0   -6.13444   -91.9569   0.00310148   -1.75656e-07           
B3H3O3         3   B H O 3 3 3
  4     515032.0   -9.82179   -57.977   0.00411722   -2.23705e-07           
B3H3O6         3   B H O 3 3 6
  4     732035.0   -9.50955   -112.155   0.00441359   -2.39818e-07           
B3H6N3         3   B H N 3 6 3
  4     587891.0   -15.4807   -60.7397   0.00620282   -3.29685e-07           
B5H9         2   B H 5 9
  4     559698.0   -19.8779   -57.9108   0.00820925   -4.38995e-07           
Ba         1   Ba 1
  4     0.0   0.0   0.0   0.0   0.0           
Ba+         2   Ba el 1 -1
  4     -60428.6   2.44662   -13.4711   0.000319014   -5.49114e-08           
BaBr         2   Ba Br 1 1
  4     48529.7   0.579499   -12.8664   -0.000624224   7.33049e-09           
BaBr2         2   Ba Br 1 2
  4     99757.5   0.573538   -25.232   -0.000671673   -7.89267e-11           
BaCl         2   Ba Cl 1 1
  4     53320.4   0.0422901   -9.60031   -0.000364652   -4.7252e-09           
BaCl2         2   Ba Cl 1 2
  4     110676.0   -0.363492   -18.752   -0.000225188   -2.37505e-08           
BaF         2   Ba F 1 1
  4     69973.9   0.119012   -10.9289   -0.000376824   -6.9012e-09           
BaF+         3   Ba F el 1 1 -1
  4     13737.8   2.14665   -22.8696   -0.000138078   -5.38437e-09           
BaF2         2   Ba F 1 2
  4     137370.0   -0.236548   -21.1593   -0.000211861   -2.61825e-08           
BaHO         3   Ba H O 1 1 1
  4     104844.0   -0.873719   -17.7793   -3.56e-05   -2.36873e-08           
BaHO+         4   Ba H O el 1 1 1 -1
  4     45752.4   1.55873   -32.2577   4.47e-05   -3.66448e-08           
BaH2O2         3   Ba H O 1 2 2
  4     208841.0   -2.1884   -35.0646   0.000497347   -5.81369e-08           
BaI         2   Ba I 1 1
  4     39683.6   0.43184   -11.655   -0.000444623   -1.14672e-08           
BaI2         2   Ba I 1 2
  4     83854.0   0.412145   -24.9216   -0.000457463   -1.68977e-08           
BaO         2   Ba O 1 1
  4     66659.4   0.48829   -14.8946   -0.000711698   3.19218e-08           
BaS         2   Ba S 1 1
  4     50457.6   0.222278   -12.2793   -0.000579698   3.0802e-08           
Be         1   Be 1
  4     0.0   0.0   0.0   0.0   0.0           
Be+         2   Be el 1 -1
  4     -106955.0   2.42599   -13.0475   5.99e-05   -6.46523e-09           
BeBr         2   Be Br 1 1
  4     37785.9   -0.760122   -4.99356   7.08e-05   -5.26228e-09           
BeBr2         2   Be Br 1 2
  4     93372.4   -0.478232   -22.5384   4.25e-05   -5.40523e-09           
BeC2         2   Be C 1 2
  4     142874.0   -2.37486   -12.9426   0.00084309   -5.27911e-08           
BeCl         2   Be Cl 1 1
  4     45920.8   -1.31014   -1.55942   0.000319897   -1.8968e-08           
BeCl+         3   Be Cl el 1 1 -1
