335
AlCl         2   Al Cl 1 1
  2     11.9756   -5.26278   -0.0102635   0.00393437   -0.00026236           
AlOCl        3   Al Cl O 1 1 1
  2     25.2736   -11.3695   0.181015   -0.0269337   0.00141296           
AlCl2         2   Al Cl 1 2
  2     24.1558   -9.76179   0.16044   -0.0214136   0.00106392           
AlF         2   Al F 1 1
  2     12.7557   -7.5247   0.175072   -0.0248482   0.00127383           
AlOF         3   Al F O 1 1 1
  2     25.8299   -13.5898   0.257756   -0.0394409   0.00210301           
AlF2         2   Al F 1 2
  2     24.7741   -12.7799   0.15283   -0.0204891   0.0010194           
AlH         2   Al H 1 1
  2     12.1913   -3.91661   0.255568   -0.0372612   0.00194061           
AlOH         3   Al H O 1 1 1
  2     25.7071   -10.6236   0.0979013   -0.0118352   0.00058121           
AlO         2   Al O 1 1
  2     12.7393   -5.92436   0.182177   -0.0257927   0.0013185           
AlO2         2   Al O 1 2
  2     25.3565   -8.72854   0.092307   -0.013744   0.000726892           
AlS         2   Al S 1 1
  2     12.5198   -4.55689   0.195015   -0.0270327   0.00135949           
Al2O         2   Al O 2 1
  2     26.1585   -12.0101   0.427838   -0.0630199   0.00328471           
BCl         2   B Cl 1 1
  2     12.6338   -6.02981   0.125365   -0.0162255   0.000788462           
BF         2   B F 1 1
  2     13.08   -8.36958   0.125752   -0.0163135   0.000796446           
BH         2   B H 1 1
  2     12.3991   -4.01795   0.131745   -0.0167235   0.000810028           
BHO         3   B H O 1 1 1
  2     25.3772   -11.8244   0.0501805   -0.0053856   0.000254855           
BHO2         3   B H O 1 1 2
  2     38.934   -19.6241   0.0984029   -0.0108936   0.000517835           
BH2         2   B H 1 2
  2     24.3681   -8.58306   0.0450531   -0.00399339   0.000173763           
BH2O2         3   B H O 1 2 2
  2     50.2898   -20.6749   -0.00754323   0.00326736   -0.000167937           
BNO         3   B N O 1 1 1
  2     14.1864   -9.6872   0.780002   -0.159796   0.0120681           
BO         2   B O 1 1
  2     13.1112   -8.857   0.127136   -0.0163126   0.000794082           
BS         2   B S 1 1
  2     12.822   -6.70466   0.170345   -0.0230205   0.00114541           
B2O         2   B O 2 1
  2     26.4072   -13.795   0.165079   -0.0215281   0.0010598           
BaCl         2   Ba Cl 1 1
  2     12.9324   -6.90019   0.776258   -0.110132   0.00554797           
BaCl2         2   Ba Cl 1 2
  2     24.32   -12.2626   0.680969   -0.0976155   0.00494488           
BaF         2   Ba F 1 1
  2     12.6703   -7.93627   0.612723   -0.0858945   0.00429113           
BaF2         2   Ba F 1 2
  2     24.7125   -14.2318   0.778023   -0.110592   0.00557877           
BaH         2   Ba H 1 1
  2     12.3202   -4.31381   0.772582   -0.109613   0.00552246           
BaHO         3   Ba H O 1 1 1
  2     49.8434   -20.4061   0.66675   -0.0932974   0.00470231           
BaHO+         4   Ba H O el 1 1 1 -1
  2     25.3167   -12.033   0.819545   -0.114567   0.00574607           
BaO         2   Ba O 1 1
  2     13.0115   -8.18515   0.791633   -0.112686   0.00568567           
BaS         2   Ba S 1 1
  2     13.0896   -6.80573   0.81446   -0.115878   0.00584443           
Ba2O         2   Ba O 2 1
  2     26.9696   -12.8342   1.367   -0.197186   0.0100094           
BeCl         2   Be Cl 1 1
  2     11.749   -5.32248   0.237932   -0.0335529   0.00170877           
BeCl2         2   Be Cl 1 2
  2     24.8641   -10.1323   0.141911   -0.020619   0.0010798           
BeF         2   Be F 1 1
  2     12.0932   -6.64793   0.228631   -0.0320402   0.00162482           
BeHO         3   Be H O 1 1 1
  2     24.5212   -10.424   0.284154   -0.0382035   0.00191778           
BeH2         2   Be H 1 2
  2     24.1602   -7.26932   0.147405   -0.020183   0.00104534           
BeH2O2         3   Be H O 1 2 2
  2     49.7203   -20.5144   0.118638   -0.0153883   0.000804117           
BeO         2   Be O 1 1
  2     12.6951   -5.48234   0.252059   -0.0356181   0.00181521           
C-         2   C el 1 1
  2     10.9594   -3.13271   0.478683   -0.0610419   0.00291025           
C106H56        2   C H 106 56
  2     1872.0   -662.3   -1.406   0.3596   -0.02111           
C10H16         2   C H 10 16
  2     286.1   -69.63   -15.12   2.134   -0.1048           
C10H7         2   C H 10 7
  2     197.8   -74.52   -4.26   0.6031   -0.0296           
C10H8         2   C H 10 8
  2     222.7   -92.05   -0.7081   0.1113   -0.005849           
HC11N         3   C H N 11 1 1
  2     150.8   -71.32   -1.677   0.2317   -0.0112           
C14H10(a)     2   C H 14 10
  2     302.4   -125.7   -1.007   0.1539   -0.007978           
C14H10(p)     2   C H 14 10
  2     302.1   -125.7   -1.028   0.1575   -0.008187           
C18H12(b)     2   C H 18 12
  2     353.9   -130.6   -0.6374   0.1174   -0.006454           
C18H12(t)     2   C H 18 12
  2     380.5   -159.5   -1.293   0.1961   -0.01015           
CCl         2   C Cl 1 1
  2     12.3361   -3.97283   0.172307   -0.0237921   0.00120035           
CClO         3   C Cl O 1 1 1
