H He C N O Na Mg Si Fe Al Ca Ti S Cl K Li el
207
H2          1  H  2
 4   5.1909637142380554e+04  -1.8011701211306956e+00   8.7224583233705744e-02   2.5613890164973008e-04  -5.3540255367406060e-09 
CH          2  H  C  1  1
 4   4.0379615053524416e+04  -2.0652252651411231e+00   2.7356325916374544e+00   6.0353391276615764e-04  -2.9603753041435643e-08 
CO          2  C  O  1  1
 4   1.2899777785630804e+05  -1.7549835812545211e+00  -3.1625806804795502e+00   4.1336204683783961e-04  -2.3579962985989574e-08 
CH2         2  H  C  2  1
 4   9.1169714849968557e+04  -3.7350318476311486e+00   1.0643297706315025e+00   9.7909623883390973e-04  -4.9466163560058486e-08 
H2O         2  H  O  2  1
 4   1.1033645388793820e+05  -4.1783597409582285e+00   3.1744691010633233e+00   9.4064684023068001e-04  -4.0482461482866891e-08 
C2H         2  H  C  1  2
 4   1.4048251291012220e+05  -3.0258276195407348e+00  -7.3120944608372156e+00   9.0716365637874552e-04  -4.2404139555285672e-08 
C2          1  C  2
 4   7.1348639882889300e+04  -7.5330229857593167e-01  -8.8263276927177685e+00   8.4091352327758662e-05  -8.3490744632003060e-10 
C3          1  C  3
 4   1.5904009582911574e+05  -3.3936161589267044e+00  -6.2778808056209527e+00   7.2604940055132072e-04  -3.9352561461012257e-08 
C4          1  C  4
 4   2.2742199533511806e+05  -3.0194898886708188e+00  -2.9611052345157532e+01   1.2263633681297570e-03  -7.5002190701282956e-08 
C5          1  C  5
 4   3.1249742101360817e+05  -3.7594742410386743e+00  -4.2480644665472937e+01   1.6560642064683551e-03  -1.0047739576785441e-07 
C2H2        2  H  C  2  2
 4   1.9646042660345597e+05  -4.5142919982618537e+00  -1.2427863494177018e+01   1.5177662181888874e-03  -7.4542139989784635e-08 
HCO         3  H  C  O  1  1  1
 4   1.3627672491122779e+05  -3.4785527546787876e+00  -2.6467810128128804e+00   9.5165699962981853e-04  -5.1132674401247098e-08 
H2CO        3  H  C  O  2  1  1
 1  -8.81249E+01  3.74848E+01 -9.95792E-02  3.92536E-03 -6.85748E-05
CH3         2  H  C  3  1
