H      			0.023	
He 			0.0000002161		
Li			0.00051
Be			0.000049
B			0.00015
C      			0.019
N      			0.000055
O      			44.4579777116
F      			0.017			
Na     			2.01
Mg     			4.73
Al     			8.19
Si     			23.6
P      			0.0574
S      			0.11
Cl     			0.014			
K      			0.152
Ca     			8.23
Sc			0.00368
Ti     			0.85
V			0.025
Cr     			0.0326
Mn     			0.132
Fe     			7.27
Co			0.0056
Ni			0.02
Cu			0.007
Zn			0.008
Ga			0.0021
Ge			0.00016
As			0.000011
Se			0.000021
Br			0.000032			
Rb			0.00015
Sr			0.013
Y			0.003
Zr			0.00901
W			0.0000052
