level, P(bar), T(K),  CH4, H2O, NH3, CO, N2, H, H2, He, H-, e-
  1  0.30000E-03  156.93 0.246E-02 0.119E-05 0.549E-03 0.105E-19 0.635E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.647-134
  2  0.39870E-03  148.51 0.246E-02 0.969E-07 0.533E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.620-143
  3  0.75370E-03  145.35 0.246E-02 0.209E-07 0.532E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.316-143
  4  0.94900E-03  147.69 0.246E-02 0.324E-07 0.532E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.405-143
  5  0.11947E-02  153.00 0.246E-02 0.109E-06 0.535E-03 0.105E-19 0.145E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.168-134
  6  0.15042E-02  158.29 0.246E-02 0.331E-06 0.538E-03 0.105E-19 0.200E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.396-134
  7  0.18938E-02  161.49 0.246E-02 0.567E-06 0.542E-03 0.105E-19 0.257E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.661-127
  8  0.23843E-02  162.65 0.246E-02 0.591E-06 0.541E-03 0.105E-19 0.251E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.973-127
  9  0.30018E-02  162.02 0.246E-02 0.406E-06 0.536E-03 0.105E-19 0.160E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.595-127
 10  0.37792E-02  159.88 0.246E-02 0.194E-06 0.533E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.256-134
 11  0.47581E-02  156.49 0.246E-02 0.670E-07 0.533E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.155-134
 12  0.59904E-02  152.06 0.246E-02 0.170E-07 0.532E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.455-135
 13  0.75419E-02  146.56 0.246E-02 0.295E-08 0.532E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.109-143
 14  0.94953E-02  137.90 0.246E-02 0.168E-09 0.524E-03 0.105E-19 0.105E-19 0.105E-19 0.834E+00 0.163E+00 0.105E-19 0.505-154
 15  0.11954E-01  120.26 0.246E-02 0.193E-12 0.419E-04 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.168-167
 16  0.15051E-01  105.95 0.246E-02 0.153E-15 0.548E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.957-198
 17  0.18949E-01  108.81 0.246E-02 0.560E-15 0.108E-05 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.112-197
 18  0.23857E-01  114.73 0.246E-02 0.823E-14 0.485E-05 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.563-181
 19  0.30035E-01  118.89 0.246E-02 0.425E-13 0.117E-04 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.720-181
 20  0.37815E-01  119.72 0.246E-02 0.484E-13 0.116E-04 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.677-181
 21  0.59939E-01  115.05 0.246E-02 0.380E-14 0.211E-05 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.253-181
 22  0.75464E-01  112.04 0.246E-02 0.717E-15 0.713E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.814-182
 23  0.90009E-01  110.88 0.246E-02 0.339E-15 0.425E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.276-182
 24  0.10000E+00  110.03 0.246E-02 0.199E-15 0.297E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.811-184
 25  0.12962E+00  110.06 0.246E-02 0.155E-15 0.231E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.129-183
 26  0.15060E+00  110.33 0.246E-02 0.154E-15 0.216E-06 0.105E-19 0.105E-19 0.105E-19 0.835E+00 0.163E+00 0.105E-19 0.650-183
