level, P(bar), T(K),  CH4, H2O, NH3, CO, N2, H, H2, He, H-, e-
  1  0.30000E-03  173.34 0.489E-03 0.479E-04 0.135E-03 0.105E-19 0.155E-17 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.334E-95
  2  0.39870E-03  164.82 0.489E-03 0.577E-05 0.135E-03 0.105E-19 0.538E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.297E-95
  3  0.75370E-03  157.35 0.489E-03 0.519E-06 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.214E-95
  4  0.94900E-03  153.92 0.489E-03 0.173E-06 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.184E-95
  5  0.11947E-02  150.45 0.489E-03 0.546E-07 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.154E-95
  6  0.15042E-02  146.63 0.489E-03 0.150E-07 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.124E-95
  7  0.18938E-02  142.26 0.489E-03 0.328E-08 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.934E-96
  8  0.23843E-02  137.24 0.489E-03 0.535E-09 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.634E-96
  9  0.30018E-02  131.29 0.489E-03 0.558E-10 0.135E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.334E-96
 10  0.37792E-02  123.24 0.489E-03 0.208E-11 0.118E-03 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.289E-96
 11  0.47581E-02  112.15 0.489E-03 0.119E-13 0.113E-04 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.244E-96
 12  0.59904E-02  104.79 0.489E-03 0.201E-15 0.930E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.100E-96
 13  0.75419E-02  103.40 0.489E-03 0.727E-16 0.463E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.561E-97
 14  0.94953E-02  102.91 0.489E-03 0.436E-16 0.311E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.343E-97
 15  0.11954E-01  101.59 0.489E-03 0.158E-16 0.155E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.153E-97
 16  0.15051E-01   98.54 0.489E-03 0.367E-17 0.405E-07 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.509-192
 17  0.18949E-01   94.62 0.489E-03 0.140E-17 0.692E-08 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.690-192
 18  0.23857E-01   91.10 0.489E-03 0.577E-18 0.123E-08 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.800-192
 19  0.30035E-01   88.32 0.489E-03 0.280E-18 0.278E-09 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.863-192
 20  0.37815E-01   85.19 0.489E-03 0.127E-18 0.482E-10 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.625-192
 21  0.59939E-01   83.14 0.489E-03 0.675E-19 0.105E-10 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.415-192
 22  0.75464E-01   82.39 0.489E-03 0.532E-19 0.562E-11 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.335-192
 23  0.90009E-01   82.31 0.489E-03 0.492E-19 0.451E-11 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.298-192
 24  0.10000E+00   82.27 0.489E-03 0.470E-19 0.396E-11 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.277-192
 25  0.12962E+00   83.06 0.489E-03 0.492E-19 0.468E-11 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.274-192
 26  0.15060E+00   83.79 0.489E-03 0.524E-19 0.590E-11 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.277-192
 27  0.18960E+00   85.53 0.489E-03 0.618E-19 0.114E-10 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.291-192
 28  0.23871E+00   88.04 0.489E-03 0.771E-19 0.306E-10 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.309-192
 29  0.30053E+00   91.48 0.489E-03 0.101E-18 0.116E-09 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.326-192
 30  0.37837E+00   96.07 0.489E-03 0.134E-18 0.621E-09 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.362-192
 31  0.47637E+00  102.63 0.489E-03 0.735E-18 0.562E-08 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.688E-99
 32  0.59975E+00  110.24 0.488E-03 0.366E-16 0.523E-07 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.199E-98
 33  0.68000E+00  114.71 0.489E-03 0.283E-15 0.168E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.175E-98
 34  0.75508E+00  118.61 0.488E-03 0.148E-14 0.430E-06 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.155E-98
 35  0.88065E+00  124.60 0.488E-03 0.154E-13 0.163E-05 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.125E-98
 36  0.10000E+01  129.82 0.488E-03 0.984E-13 0.465E-05 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.100E-98
 37  0.12476E+01  139.45 0.488E-03 0.208E-11 0.261E-04 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.867E-99
 38  0.15069E+01  148.27 0.488E-03 0.238E-10 0.823E-04 0.105E-19 0.105E-19 0.105E-19 0.838E+00 0.162E+00 0.105E-19 0.753E-99
